name,birthday,nationality
Fernanda Montenegro,1929-10-16,BRAZIL
Wagner Moura,1976-06-27,BRAZIL
Sônia Braga,1950-06-08,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Camila Pitanga,1977-06-14,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Débora Falabella,1979-02-22,BRAZIL
Marco Nanini,1948-05-31,BRAZIL
Glória Pires,1963-08-23,BRAZIL
Matheus Nachtergaele,1968-01-03,BRAZIL
Leandra Leal,1982-09-08,BRAZIL
Tony Ramos,1948-08-25,BRAZIL
Cacá Carvalho,1953-06-18,BRAZIL
Meryl Streep,1949-06-22,USA
Tom Hanks,1956-07-09,USA
Natalie Portman,1981-06-09,USA
Morgan Freeman,1937-06-01,USA
Scarlett Johansson,1984-11-22,USA
Robert De Niro,1943-08-17,USA
Jennifer Lawrence,1990-08-15,USA
Julia Roberts,1967-10-28,USA
Johnny Depp,1963-06-09,USA
Anne Hathaway,1982-11-12,USA
Denzel Washington,1954-12-28,USA
Angelina Jolie,1975-06-04,USA
